,Catégorie,Produit,Prix Habituel,Prix,Description
31, Makanan   Cemilan & Biskuit   Kacang Kacangan , Dua Kelinci Kacang Garing 375G,,Rp35.400,"KOMPOSISI :
Kacang & garam

TAKARAN PER KEMASAN :
sajian per kemasan 17

TAKARAN PER SERVING :
Energi total 170kkal, energi dari lemak 120kkal, lemak total 13g, lemak jenuh 2g, kolesterol 0mg, protein 9g, karbohidrat total 4g, serat pangan 2g, natrium 290mg, kalsium 10mg.

TAKARAN SAJI :
Takaran saji 30g

PLU :
10000341"
32, Home & Living   Tisu   Tisu Basah , Indomaret Wet Tissue Alcohol 75% Food Grade 10'S,,Rp5.900,"PLU :
20113001"
33, Kesehatan & Kecantikan   Kesehatan   Antiseptik & Sanitasi   Disinfectant , Indomaret Cabin Air Disinfectant Lemon 150mL,Rp 59.900,Rp49.900,"PLU :
20110632"
34, Makanan   Cemilan & Biskuit   Kacang Kacangan , Indomaret Kacang Almond 70G,,Rp16.600,"PLU :
20104000"
35, Home & Living   Deterjen dan Pembersih   Sabun Cuci Piring , Indomaret Cairan Pencuci Natural 800Ml,,Rp15.200,"CARA PENGGUNAAN :
Mencuci peralatan makan: 1. Larutkan 1 sendok teh cairan kedalam 1/2 gelas air bersih. 2. Gunakan spons untuk menghasilkan busa dan membersihkan peralatan dapur. 3. Bilas dengan air hingga bersih. Mencuci sayur dan buah. 1. arutkan 1/2 sendok teh cairan kedalam 1 liter air bersih. 2. Cuci sayuran dan buah kemudian bilas sampai bersih.

PERHATIAN :
Jauhkan dari jangkauan anak-anak.

PLU :
20099813"
36, Makanan   Cokelat & Permen   Cokelat , Indomaret Cashew Milk Chocolate 45G,,Rp8.900,"KOMPOSISI :
Kacang mete, gula, lemak kakao, kakao massa, susu bubuk, lesitin, vanili, garam, pelapis shellac, antioksidan

PLU :
20085730"
37, Kesehatan & Kecantikan   Perawatan Diri   Popok Dewasa , Indomaret Diapers Adult 6'S Leak Guard Extralarge Bag,,Rp39.900,"PLU :
20069549"
38, Kesehatan & Kecantikan   Perawatan Diri   Popok Dewasa , Indomaret Diapers Adult 8'S Leak Guard Medium Bag,,Rp39.900,"PLU :
20069546"
39, Kesehatan & Kecantikan   Perawatan Diri   Popok Dewasa , Indomaret Diapers Adult 7'S Leak Guard Large Bag,,Rp39.900,"PLU :
20069547"
40, Home & Living   Pembasmi Kuman & Pewangi   Kamper & Kapur Barus , Indomaret Kamper Butir Putih Naphthalene 150G,,Rp13.200,"PLU :
20027997"
41, Minuman   Air Mineral   Mineral Water , Indomaret Air Mineral 1500Ml,,Rp4.700,"CARA PENYIMPANAN :
Simpan ditempat bersih, sejuk dan terhindar dari sinar matahari langsung.

KOMPOSISI :
Air mineral

PLU :
10004337"
42, Makanan   Cemilan & Biskuit   Cemilan Lokal , Muria Snack Basreng 100G,Rp 7.300,Rp6.300,"KOMPOSISI :
BAKSO, PENYEDAP RASA, CABAI, MINYAK GORENG

PLU :
20106552"
43, Makanan   Cemilan & Biskuit   Biskuit , Kartika Toast Soes Snack Cream Cheese 50.15G,Rp 11.000,Rp8.500,"KOMPOSISI :
KRIM RASA KEJU, AIR, TELUR, TEPUNG TERIGU, MARGARINE, SUSU SKIM BUBUK, GARAM

PLU :
20113577"
44, Ibu & Anak   Mainan & Hobi   Mainan & Hobi Lainnya , Pokemon Booster Pack Game Kartu SR-11 Anniversary 25th,,Rp35.000,"PLU :
20120143"
45, Kesehatan & Kecantikan   Perawatan Diri   Popok Dewasa , Confidence Adult Pants Heavy Flow 16's M,Rp 116.900,Rp105.900,"OTHER DETAILS :
1. Praktis, mudah dipakai. 2. Elastis dan Pas di badan, serasa pakai celana dalam biasa. 3. Ekstra serap 6X Lebih banyak dan Cepat kering. 4. Mengandung SAP Anti bakteri, untuk mencegah pertumbuhan bakteri berbahaya. 5. Hypoallergenic tested oleh Australian dermatologis, aman untuk kulit sensitif.

PLU :
20120207"
46, Minuman   Kopi   Kopi Instant , Paldo BTS Special Package Box 3x270ml,,Rp100.000,"PLU :
20120141"
47, Ibu & Anak   Popok Bayi   Size S , Mamy Poko Pants Tidak Gembung 32's Small,Rp 59.700,Rp48.900,"PLU :
20119756"
48, Home & Living   Deterjen dan Pembersih   Deterjen   Deterjen Cair , So Soft Deterjen Cair Nature Fresh 750Ml,Rp 18.500,Rp15.500,"CARA PENGGUNAAN :
1. Pisahkan pakaian putih dan berwarna. 2. Campurkan 1 tutup Sosoft (22ml) ke dalam 10L air (untuk 15-25 potong pakaian). 3. Rendam dan kucek ringan, lalu bilas. 4. Untuk noda membandedl, oleskan SoSoft langsung pada noda dan kucek hingga bersih. 5. Bisa untuk mencuci dengan tangan maupun mesin cuci bukaan atas

PLU :
20120180"
49, Kesehatan & Kecantikan   Perawatan Rambut   Shampoo , Zinc Shampoo Anti Ketombe Hijab Active Rambut Rontok 170Ml,Rp 25.000,Rp16.500,"CARA PENANGANAN :
Jangan dibanting/ ditimpa setelah dikeluarkan dari kardus

CARA PENGGUNAAN :
Usapkan pada rambut yang basah pijat shampoo di kulit kepala. Bilas hingga bersih ulangi bila perlu. Gunakan secara teratur. Hindari Kontak dengan mata. Bilas dengan air sampai bersih bila terjadi kontak dengan mata.

CARA PENYIMPANAN :
Simpan ditempat yang kering sejuk dan tidak terpapar sinar matahari

HALAL :
YA

KANDUNGAN ALKOHOL (%) :
.

KOMPOSISI :
1. Water 2. Sodium Laureth Sulfate 3. Sodium Lauryl sulfate 4. Glycol Distearate 5. Hexylene Glycol 6. Perfume 7. Dimethiconol 8. Dimethicone 9. Zinc Pyrithione 10. Propylene Glycol 11. Cocamidopropyl Betaine 12. Sodium Sulfate 13. Sodium Chloride 14. Polyquaternium-10 15. Guar Hydroxypropyltrimonium Chloride 16. Acrylates/Steareth-20 Methacrylate Copolymer 17. Cocamide DEA 18. Laureth-4 19. Laureth-23 20. Menthol 21. Piroctone Olamine 22. Sophora Angustifolia Root Extract 23. Rosa Damascena

OTHER DETAILS :
Menjawab kebutuhan gaya hidup hijabers yang active yang memiliki kebutuhan khusus untuk rambut mereka. Seringkali gaya hidup hijabers yang aktif membuat kulit kepala berkeringat dan lembap. Dengan teknologi DEO ACTIVE SCALP ZINC ANTI DANDRUFF HIJAB ACTIVE tidak hanya melawan kuman penyebab ketombe merawat rambut yang rontok namun juga melawan

PERHATIAN :
.

TAKARAN PER KEMASAN :
.

TAKARAN PER SERVING :
.

TAKARAN SAJI :
.

PLU :
20120204"
50, Minuman   Kopi   Kopi Bubuk/ Biji , Gadjah Kopi Tubruk Asli 150G,Rp 11.000,Rp8.900,"CARA PENGGUNAAN :
campurkan gadjah kopi tubruk dengan air panas 150ml, aduk rata dan siap disajikan

KOMPOSISI :
Kopi Bubuk 100%

TAKARAN PER KEMASAN :
25g

TAKARAN PER SERVING :
25g

TAKARAN SAJI :
25g

PLU :
20112371"
