,Catégorie,Produit,Prix Habituel,Prix,Description
833, Kesehatan & Kecantikan   Kosmetik   Wajah   Masker , Vienna Face Food Whitening Mask Matcha Grn Tea 15ml,,Rp10.200,"CARA PENGGUNAAN :
Bersihkan wajah dengan perlahan. Gunakan sekali atau dua kali dalam seminggu dengan olesan tipis pada wajah dan leher, hindari daerah mata. Relaks dan diamkan selama 15-20 menit hingga kering. Angkat masker perlahan dengan menarik dari ujung. Bilas hingga bersih.

KOMPOSISI :
Aqua (water), polyvinyl alcohol, alcohol denat, glycerin, butylene glycol, niaciamide, hydrolyzed com starch, titanium dioxide, polysorbate 20, cetyl hydroxyethylcelluose, polymethyl methacrylate, trilaurin, diacetyl boldine, camellia sinensis (green tea) leaf extract, milk protein, mel (honey) extract, allantion, fragrance (arfum), xanthan gum, phenoxyrthanol, citric acid, disodium edta, CI77013/ iron oxides.

OTHER DETAILS :
Vienna face food whitening mask matcha green tea, for oily to normal skin. Diperkaya dengan whitening complex untuk perawatan kulit tampak putih dan cerah.

PERHATIAN :
Hindari penggunaan pada kulit sensitif dan kulit bermasalah.

PLU :
20080295"
834, Makanan   Cemilan & Biskuit   Keripik , Potabee Snack Potato Chips Melted Cheese 57G,Rp 9.700,Rp7.900,"KOMPOSISI :
Kentang 50%, minyak kelapa sawit, minyak inti kelapa sawit terhidrogenasi, whey bubuk, keju bubuk 5%, susu bubuk full cream, garam, penguat rasa, pewarna kuning FCF CI15985.

OTHER DETAILS :
Potabee potato chips selections, keripik kentang rasa keju.

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN PER SERVING :
Energi total 200kkal, energi dari lemak 120kkal, lemak total 13g, protein 3g, karbohidrat total 18g, serat pangan 3g, gula 2g, natrium 180mg.

TAKARAN SAJI :
Takaran saji : 35g

PLU :
20080040"
835, Minuman   Susu   Susu Bubuk , Dancow Fortigro Susu Bubuk Cokelat Polybag 10X39g,Rp 39.700,Rp31.900,"CARA PENANGANAN :
Masukkan produk beserta sachetnya ke wadah yang bersih. Habiskan dalam waktu 3 minggu.

CARA PENGGUNAAN :
Tuangkan 1 sachet 40g nestle dancow instant cokelat ke dalam 165mL air matang hangat.

CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering.

KOMPOSISI :
Susu bubuk, sukrosa, maltodekstrin, bubuk kakao, 4 mineral, pengemulsi lesitin kedelai, premiks vitamin, dan pemanis alami steviol glikosida.

OTHER DETAILS :
Nestle Dancow fortigo instant coklat excelnutri. Susu bubuk instan cokelat.

PERHATIAN :
Tidak cocok untuk bayi di bawah satu tahun.

TAKARAN PER KEMASAN :
Sajian per kemasan: 1

TAKARAN PER SERVING :
Energi total 180kkal, energi dari lemak 50kkal, lemak total 6g, lemak jenuh 3.5g, kolesterol 20mg, protein 5g, karbohidrat total 25g, gula total 21g, gula 12g, natrium 100mg, Vit A 30%, Vit C 20%, Vit D 25%, Vit E 10%, Vit B1 15%, Vit B2 35%, Vit B3 15%, Vit B6 15%, Vit B9 15%, Vit B12 25%, kalsium 40%, zat besi 15%, fosfor 30%, magnesium 10%, zink 15%. biotin 20mcg, kolin 12.2mg.

TAKARAN SAJI :
Takaran saji: 40g

PLU :
20035012"
836, Ibu & Anak   Popok Bayi   New Born , Sweety Open Comfort Gold 52's New Born,Rp 112.500,Rp90.000,"CARA PENGGUNAAN :
Buka leak guards ke depan. Letakkan bayi di atas popok. Rekatkan perekat ke frontal tape. Pastikan popok dipakai dengan baik.

KOMPOSISI :
No woven 24.0%, absorbant core 58.8%, backsheet 6.4%, elastic 0.5%, mechanical fastenning tape 3.7%, glue 5.1%, frontal tape 1.50%.

MERK :
SWEETY

NAMA :
OPEN COMFORT GOLD 52'S

PLU :
20079792"
837, Ibu & Anak   Popok Bayi   Size S , Sweety Open Comfort Gold 50's Small,Rp 112.500,Rp90.000,"CARA PENGGUNAAN :
Buka leak guards ke depan. Letakkan bayi di atas popok. Rekatkan perekat ke frontal tape. Pastikan popok dipakai dengan baik.

KOMPOSISI :
No woven 17.7%, absorbant core 66.0%, tissue 4.3%, backsheet 3.7%, elastic 0.2%, mechanical fastenning tape 3.3%, glue 4.8%.

MERK :
SWEETY

NAMA :
OPEN COMFORT GOLD 50'S

PLU :
20079793"
838, Ibu & Anak   Makanan & Susu Bayi   Susu Balita , S-26 Procal Gold Tahap 3 Vanila 400G,Rp 135.000,Rp123.900,"CARA PENANGANAN :
Tutup kemasan dengan rapat setiap selesai menggunakan. Setelah dibuka, gunakanlah isinya dalam waktu 4 minggu.

CARA PENGGUNAAN :
Mencuci tangan sebelum menyiapkan susu. Mencuci gelas sampai bersih. Merebus selama 5 menit dan biarkan dalam wadah tertutup sampai saat akan dipakai. Merebus air minum sampai mendidih selama 5 menit, diamkan sampai suam-suam kuku. Konsultasikan tabel pemberian, tuangkan air suam-suam kuku ke dalam gelas sesuai jumlah yang dianjurkan. Gunakan hanya sendok takar yang tersedia dalam kemasan dan bubuk harus diratakan. Konsultasikan tabel pemberian, tambahkan bubuk susu sesuai takaran yang dianjurkan ke dalam gelas. Kocoklah hingga susu bubuk larut seluruhnya.

CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering.

KOMPOSISI :
Laktosa, susu bubuk tanpa lemak, minyak nabati (kedelai, oleat bunga matahari, kelapa sawit), mengandung antioksidan, konsentrat whey protein, maltodekstrin, oligofruktosa, 14 mineral, pengemulsi, vitamin, asam lemak tak jenuh ganda rantai panjang berasal dari sel tunggal, asam arakhidonat, taurin, perisa artifisial, pengatur keasaman, 5 nukleotida, antioksidan.

OTHER DETAILS :
S-26 procal gold new improved formula tahap 3, Susu pertumbuhan rasa vanila untuk anak usia 1-3 tahun.

PERHATIAN :
Tidak cocok untuk bayi di bawah 1 tahun.

TAKARAN PER KEMASAN :
Sajian per kemasan: 10

TAKARAN PER SERVING :
Energi total 190kkal, lemak toal 7g, asam linoleat 1617mg, asam linolenat 161mg, lemak trans 0g, protein 6g, karbohidrat total 26g, serat pangan total 1g, gula total 23g, laktosa 23g, natrium 110mg, kalium 480mg, protein 31%, Vit A 40%, Vit C 60%, Vit D 80%, Vit E 25%, Vit K 85%, Vit B1 30%, Vit B2 50%, Vit B6 30%, Vit B12 85%, niasin 30%, asam folat 40%, asam pantotenat 50%, kalsium 40%, fosfor 45%, magnesium 30%, mangan 10%, zat besi 35%, zink 15%, lodium 40%, selenium 35%.

TAKARAN SAJI :
Takaran saji: 42g

PLU :
20043410"
839, Ibu & Anak   Popok Bayi   New Born , Sweety Open Comfort Gold 30's New Born,Rp 65.900,Rp52.720,"CARA PENGGUNAAN :
Buka leak guards ke depan. Letakkan bayi di atas popok. Rekatkan perekat ke frontal tape. Pastikan popok dipakai dengan baik.

KOMPOSISI :
No woven 24.0%, absorbant core 58.8%, glue 5.1%, frontal tape 1.50%.

MERK :
SWEETY

NAMA :
OPEN COMFORT GOLD 30'S

PLU :
20079763"
840, Ibu & Anak   Popok Bayi   Size S , Sweety Open Comfort Gold 26's Small,Rp 65.900,Rp52.720,"CARA PENGGUNAAN :
Buka leak guards ke depan. Letakkan bayi di atas popok. Rekatkan perekat ke frontal tape. Pastikan popok dipakai dengan baik.

KOMPOSISI :
No woven 17.7%, absorbant core 66%, tissue 4.3%, backsheet 3.7%, elastic 0.2%, mechanical fastenning tape 3.3%, glue 4.8%.

MERK :
SWEETY

NAMA :
OPEN COMFORT GOLD 26'S

PLU :
20079764"
841, Ibu & Anak   Popok Bayi   Size L , Sweety Silver Pants 54's Large Bag,Rp 134.900,Rp107.920,"CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering. Jauhkan dari sinar matahari langsung.

MERK :
SWEETY

NAMA :
SILVER PANTS 54'S

PLU :
20079729"
842, Ibu & Anak   Popok Bayi   Size XL , Sweety Pantz Gold 44'S Extralarge,Rp 170.000,Rp136.000,"MERK :
SWEETY

NAMA :
PANTZ GOLD 44'S

PLU :
20079720"
843, Ibu & Anak   Popok Bayi   Size XXL , Sweety Pantz Gold 36'S XXL,Rp 170.000,Rp136.000,"MERK :
SWEETY

NAMA :
PANTZ GOLD 36'S

PLU :
20079718"
844, Ibu & Anak   Popok Bayi   Size XXL , Sweety Silver Pants 36's Xxl,Rp 119.000,Rp95.200,"CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering. Jauhkan dari sinar matahari langsung.

MERK :
SWEETY

NAMA :
SILVER PANTS 36'S

PLU :
20079726"
845, Ibu & Anak   Popok Bayi   Size S , Mamy Poko Diapers Royal Soft Perekat 50's S,Rp 115.600,Rp98.500,"CARA PENANGANAN :
Untuk mencegah iritasi popok, bersihkan dan gantilah popok dengan segera apabila kotor.

CARA PENGGUNAAN :
Tarik pencegah bocor samping ke atas. Jangan lipat pencegah bocor samping ke luar. Pasang pita perekat supaya pas dengan badan bayi.

CARA PENYIMPANAN :
Simpanlah di tempat sejuk dan kering.

MERK :
MAMY POKO

NAMA :
BABY DIAPERS 50'S

PERHATIAN :
Jika terjadi iritasi, sebaiknya hentikan penggunaan popok sekali pakai dan segera konsultasikan dengan dokter

PLU :
20024302"
846, Ibu & Anak   Popok Bayi   Size S , Sweety Silver Pants 66's Small,Rp 119.000,Rp95.200,"CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering. Jauhkan dari sinar matahari langsung.

MERK :
SWEETY

NAMA :
SILVER PANTS 66'S

PLU :
20079731"
847, Ibu & Anak   Popok Bayi   Size M , Sweety Pantz Gold 60's Medium,Rp 170.000,Rp136.000,"MERK :
SWEETY

NAMA :
PANTZ GOLD 60'S

PLU :
20079723"
848, Ibu & Anak   Popok Bayi   Size XL , SWEETY SILVER PANTS 44'S,Rp 119.000,Rp95.200,"CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering. Jauhkan dari sinar matahari langsung.

MERK :
SWEETY

NAMA :
SILVER PANTS 44'S

PLU :
20079728"
849, Ibu & Anak   Popok Bayi   Size L , Sweety Pantz Gold 54'S Large,Rp 170.000,Rp136.000,"MERK :
SWEETY

NAMA :
PANTZ GOLD 54'S

PLU :
20079721"
850, Makanan   Bahan Kue   Tepung Instan , Nutricake Instant Cake Brownies Cheese 230G,Rp 14.000,Rp10.000,"CARA PENGGUNAAN :
Campurkan nutricake brownies dengan sebutir telur, 100g mentega dicairkan/ 100ml minyak sayur dan 25mL air ( 5 sendok makan), lalu aduk. Tuangkan adonan yang sudah diaduk rata ke dalam loyang yang telah diolesi margarin (rekomendasi loyang: 20x10x4cm). Panaskan oven 10 menit lalu panggang adonan dengan suhu 175 C selama 35 menit atau panaskan air hingga mendidih lalu kukus adonan selama 30 menit. Nutricake Brownies siap dinikmati.

KOMPOSISI :
Gula, tepung terigu, susu bubuk, butterscotch butir (mengandung pewarna makanan kuning FCF CI15985, betakaroten), keju bubuk 5% (mengandung pewarna makana tartrazin CI19140), pengemulsi nabati, pengembang, perisa alami keju (mengandung antioksidan tokoferol).

OTHER DETAILS :
Nutricake mom's recipe brownies kukus panggang rasa keju. Brownies yang praktis dapat dimasak dengan cara dikukus ataupun dipanggang dan tidak perlu menggunakan mixer.

TAKARAN PER KEMASAN :
Sajian per kemasan : 6

TAKARAN PER SERVING :
Energi total 150kkal, energi dari lemak 15kkal, lemak total 1.5g, protein 3g, karbohidrat total 32g, gula 15g, natrium 125mg.

TAKARAN SAJI :
Takaran saji : 40g

PLU :
20079001"
851," Kesehatan & Kecantikan   Kesehatan   Obat Minum   Batuk, Flu, & Tenggorokan Dewasa ", Komix Sirup Obat Batuk Hitam Obh G-Formula 5X7ml,Rp 7.700,Rp5.200,"CARA PENANGANAN :
Obat ini dapat menyababkan kantuk.

CARA PENGGUNAAN :
Dewasa dan anak diatas 12 tahun : 3x 2 sachet sehari. Anak 6-12 tahun : 3x 1 sachet sehari.

CARA PENYIMPANAN :
Simpan di bawah suhu 30 C.

KOMPOSISI :
Succus liquiritiae 167mg, guaifenesin 100mg, phenylephrine HCI 10mg, chlorpheniramine maleate 2mg.

OTHER DETAILS :
Sirup obat batuk hitam komix obh meredakan batuk berdahak dan pilek.

PERHATIAN :
Tidak dianjurkan penggunaan pada anak usia di bawah 6 tahun.

PLU :
20078239"
852, Kesehatan & Kecantikan   Perawatan Diri   Kesehatan Kewanitaan   Pembalut , Softex Pembalut Wnt Daun Sirih 16'S Slim Wing 29Cm,Rp 19.000,Rp17.500,"KOMPOSISI :
Non Woven 7.7%, core absorbent 58.36%, tissue napkin 6.44%, pe film 11.74%, silicone paper 7.72%, ekstrak daun sirih 3.17%, adhesive 4.87%.

OTHER DETAILS :
Softex daun sirih slim heavy flow natural hygiene lebih bersih dan sehat karena ekstrak daun sirih. Daun sirih mengandung antiseptik untuk mengurangi bau.

PLU :
20077515"
853, Makanan   Bahan Kue   Keju , Pro Chiz Keju Gold 160G,,Rp14.500,"CARA PENYIMPANAN :
Simpan di suhu ruang. Bila kemasan sudah dibuka, simpan di lemari pendingin.

KOMPOSISI :
Air, keju cheddar, pengental pati modifikasi asam, minyak nabati, pengemulsi, garam, pengatur keasaman asam laktat, perisa alami keju, pengawet, susu bubuk tanpa lemak, pewarna anato CI75120.

OTHER DETAILS :
Prochiz gold cheddar processed cheddar cheese, Keju cheddar olahan, lebih mudah diparut.

PLU :
20058306"
854," Makanan   Bahan Masakan   Bumbu Masak   Bahan kue, Puding & Agar Agar ", Nutrijell Konnyaku Jelly Powder Kelapa Muda 15G,Rp 5.600,Rp4.600,"CARA PENGGUNAAN :
Campurkan nutrijeli dengan satu gelas gula (200g) atau sesuai selera. Tambahkan air/ air kelapa muda sebanyak 3 gelas (700ml), aduk rata sambil panaskan hingga mendidih. Tuangkan ke dalam loyang datar. Tunggu hingga mengeras. Serut nutrijeli dengan serutan kelapa muda atau potong dadu sesuai selera.

KOMPOSISI :
Karagenan, konnyaku bubuk, pengatur keasaman kalium sitrat, frukto oligosakarida (FOS), kalsium laktat, krimer nabati, gula, vitamin D (mengandung antioksidan tokoferol), ekstrak air kelapa muda 1%, perisa artifisial kelapa muda.

OTHER DETAILS :
Nutrijell jelly powder young coconut, jeli serbuk instan rasa kelapa muda yang dibuat dengan rumput laut dan konnyaku.

TAKARAN PER KEMASAN :
Sajian per kemasan : 4

TAKARAN PER SERVING :
Energi total 10kkal, energi dari lemak 0kkal, lemak total 0g, protein 0g, karbohidrat total 2g, serat pangan 1g, gula 1g, natrium 90mg, Vit D 6%, Kalsium 4%.

TAKARAN SAJI :
Takaran saji : 3.75g

PLU :
20076797"
855, Kesehatan & Kecantikan   Perawatan Diri   Kesehatan Kewanitaan   Pembalut , Charm Pembalut Extra Comfort 16'S Maxi Wing 26Cm,Rp 19.000,Rp13.900,"PLU :
20076572"
856, Makanan   Makanan Instan   Mie Instan , Sedaap Mie Instant Ayam Bawang Telur 77G,,Rp4.600,"CARA PENGGUNAAN :
Buka sebagian penutupnya. Taburkan bumbu, bubuk cabe, minyak, pelengkap, serbuk gurih. Tuangkan air panas mendidih sampai garis batas 350mL, rapatkan kembali tutupnya dan biarkan 4menit. Aduk perlahan-lahan hingga bumbu tercampur merata dan siap dihidangkan.

KOMPOSISI :
Mi: Tepung terigu, minyak nabati (mengandung antioksidan TBHQ), pengemulsi pati asetat, garam, pengental nabati, pengatur keasaman, pewarna (tartrazin CI19140) dan zat besi. Bumbu : Garam, gula, penguat rasa (mononatrium glutamat), bubuk bawang merah, perisa artifisial ayam, lada bubuk 0.35%, perisa identik alami bawang putih, daun bawang, vitamin A,B1,B5,B6,B12, niasin, asam folat. Cabe Bubuk 0.39%. Minyak : minyak nabati (mengandung antioksidan TBHQ dan bawang merah 1.3%. Pelengkap : Telur ker

OTHER DETAILS :
Mie sedaap instant cup, mi kuah rasa ayam bawang telur lengkap dengan telurnya, Baru lebih besar lebih sedaap.

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN PER SERVING :
Energi total 350kkal, energi dari lemak 130kkal, lemak total 15g, lemak jenuh 7g, kolesterol 0mg, protein 7g, karbohidrat total 47g, serat pangan 2g, gula 4g, natrium 1600mg, Vit A 60%, Vit B1 55%, Vit B5 15%, Vit B6 15%, Vit B12 30%, niasin 40%, asam folat 25%, kalsium 4%, zat besi 20%.

TAKARAN SAJI :
Takaran saji : 77g

PLU :
20074978"
857, Makanan   Cokelat & Permen   Permen , Frozz Candy Cool Mint 15G,,Rp8.400,"CARA PENANGANAN :
Konsumsi berlebihan dapat menyebabkan efek laksatif.

KOMPOSISI :
Pemanis alami sorbitol, anti kempal magnesium stearat, mentol, perisa artifisial cooling, perisa alami mint, pewarna makanan (biru berlian FCF CI42090, tartrazin CI19140).

OTHER DETAILS :
Frozz rasa cool mint, Permen bebas gula.

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi total 0kkal, lemak total 0g, protein 0g, karbohidrat total 1g, gula 0g, natrium 0mg.

TAKARAN SAJI :
Takaran Saji : 3 butir

PLU :
20076292"
858, Ibu & Anak   Perlengkapan Bayi , Sleek Baby Laundry Detergent 450Ml,Rp 23.000,Rp19.900,"CARA PENANGANAN :
Jangan dicampur dengan bahan pemutih.

CARA PENGGUNAAN :
Tuangkan isi kemasan ke dalam botol sleek baby laundry detergent yang telah kosong. Pisahkan pakaian bayi yang sangat kotor, kemudian rendam dalam air selama 15 menit lalu kucek sebentar dan peras.

KOMPOSISI :
anionic surfactant 16.8%, nonionic surfactant 6%, 2-hydroxy-4,4'-dichor- diphenylether 0.06% (antibacterial) & thiabendazole 0.02% (antifungal).

MERK :
SLEEK

NAMA :
BABY LAUNDRY DETERGENT PCH 450mL

PERHATIAN :
Jauhkan dari jangkauan anak-anak.

PLU :
20025365"
859, Ibu & Anak   Perlengkapan Bayi , Sleek Baby Antibacterial Diaper Cream Natural 80Ml,Rp 34.500,Rp26.400,"CARA PENGGUNAAN :
Bersihkan kulit area popok. Oleskan krim ke permukaan kulit bayi yang tertutup popok setiap kali mengganti popok atau sesuai kebutuhan. Dapat juga digunakan pada bagian kulit lain yang memerlukan.

KOMPOSISI :
Aquam isohexadecane, hydroxyethyl urea, ceteatyl alcohol, potassium cetyl phospate, hydrogenated palm glycerides, butyrospermum parkii butter, caprylic triglyceride, hydroxypropyl starch phospate, zea maya starch, glyceryl stearate, peg-100 stearate, petrolatum, hydroxyacetophenone, fragrance, anthemis nobilis flower extract, propylene glycol, sorbitan caprylate, propanediol, benzoic acid, persea gratissima (avocado) oil, argania spinosa kernel oil, bisabolol, disodium edta, tocopheryl acetate,

MERK :
SLEEK

NAMA :
BABY ANTIBACTERIAL DIAPER CRM NATURAL

PLU :
20076003"
860, Ibu & Anak   Perlengkapan Bayi , Johnsons Baby Powder Bedtime 150+50G,Rp 14.600,Rp12.100,"CARA PENANGANAN :
Jauhkan bedak dari hidung dan mulut anak-anak untuk menghindari bedak terhirup yang bisa menyebabkan gangguan pernafasan.

CARA PENGGUNAAN :
Tuangkan bedak pada telepak tangan anda sebelum diusapkan pada kulit bayi. Tutup kembali dengan erat setelah digunakan.

KOMPOSISI :
Talc, fragrance

MERK :
JOHNSONS

NAMA :
BABY POWDER BEDTIME BTL 150+50g

PERHATIAN :
Hindari kontak mata. Hindari pemakaian pada kulit yang luka dan pusar bayi yang baru lahir. Untuk penggunaan luar saja.

PLU :
20075648"
861, Kesehatan & Kecantikan   Perawatan Diri   KB dan Alat Kontrasepsi , Sutra Kondom Ok 12'S,Rp 40.500,Rp29.900,"CARA PENYIMPANAN :
Simpan di tempat dingin, kering dan terlindung dari sinar matahari langsung.

OTHER DETAILS :
Sutra OK kondom impor dengan pelumas khusus yang memperpanjang durasi keintiman. Sehalus sutra, selembut sentuhan alam.

PLU :
20069204"
862, Kesehatan & Kecantikan   Kosmetik   Wajah   Masker , Clean & Clear Oil Control Film Pink Grapefruit,,Rp30.500,"KOMPOSISI :
Polypropylene, mineral oil, CI77491, dimethyldibenzylidene sorbitol, fragrance.

OTHER DETAILS :
Clean & clear oil control film pink grapefruit, menghilangkan lebihan minyak dan kesan mengkilap pada permukaan kulit dengan segera.

PLU :
20074712"
863, Home & Living   Pembasmi Kuman & Pewangi   Pembasmi Serangga , Vape Obat Nyamuk Spray Fumakilla Sakura Blossom 600Ml,,Rp35.500,"CARA PENANGANAN :
Bila terkena kulit, cuci dengan sabun. Bila terkenan mata, cuci dengan air bersih yang mengalir selama 15 menit.

CARA PENGGUNAAN :
Untuk mendapatkan hasil yang optimal, tutup pintu dan jendela kemudian semprotkan vape 0.185AE selama 3-5detik. Khusus untuk serangga merayap, semprotkan langsung pada serangga dan tempat persembunyian serangga. Agar daya pengendali tahan lama, bekas semprotan jangan dibersihkan.

CARA PENYIMPANAN :
Jangan disimpan pada tempat panas, di dekat api.

KOMPOSISI :
Dimefluturin 0.04%, praletrin 0.12%, siflutrin 0.02%.

OTHER DETAILS :
Vape anti nyamuk dan kecoa fumakilla natural fragrance sakura blossom, Nyamuk MATI 'GAK BANGUN LAGI!. Membunuh nyamuk demam berdarah.

PERHATIAN :
Jauhkan dari jangkauan anak-anak.

PLU :
20074152"
864, Ibu & Anak   Popok Bayi   Size M , Mamy Poko Pants Royal Soft Girls 64's Medium,Rp 209.900,Rp168.800,"CARA PENGGUNAAN :
Pakaikan seperti celama , gambar pooh dibelakang. lingkar kaki dan karet/kedutan pinggang harus pas/padan, dan tidak terlipat untuk mencegah kebocoran.

MERK :
MAMY POKO

NAMA :
BABY PANTS GIRL 64'S BAG MEDIUM

PERHATIAN :
Jika terjadi iritasi/ruam, hentikan penggunaan popok/lampin dan dapatkan nasihat dokter.

PLU :
20073906"
865, Ibu & Anak   Popok Bayi   Size XL , Sweety Bronze Pants Baby 20+4'S Extralarge,Rp 49.500,Rp47.500,"MERK :
SWEETY

NAMA :
BRONZE PANTS BABY 20+2'S PCK EXTRALARGE

PLU :
20072668"
866, Ibu & Anak   Popok Bayi   Size M , Sweety Bronze Pants Baby 20+4'S Medium,Rp 36.600,Rp35.500,"MERK :
SWEETY

NAMA :
BRONZE PANTS BABY 20+2'S PCK MEDIUM

PLU :
20072666"
867, Ibu & Anak   Popok Bayi   Size L , Sweety Bronze Pants Baby 20+4'S Large,Rp 40.300,Rp39.700,"MERK :
SWEETY

NAMA :
BRONZE PANTS BABY 20+2'S PCK LARGE

PLU :
20072667"
868, Makanan   Bahan Masakan   Bumbu Masak   Garam & Bumbu , Sasa Santan Bubuk 75G,Rp 7.100,Rp6.600,"CARA PENYIMPANAN :
Simpan di tempat kering dan sejuk.

KOMPOSISI :
Santan kelapa, maltodekstrin anti kempal silikon dioksida.

OTHER DETAILS :
Sasa santan bubuk, Coconut cream powder Gurih & Mantap Rasanya.

TAKARAN PER KEMASAN :
Sajian per kemasan : 4

TAKARAN PER SERVING :
Energi total 130kkal, energi dari lemak 80kkal, energi dari lemak jenuh 0kkal, lemak total 9g, kolesterol 0mg, protein 1g, karbohidrat total 10g, serat pangan 0g, gula 3g, natrium 15mg, kalsium 0mg, zat besi 0mg.

TAKARAN SAJI :
Takaran saji : 20g

PLU :
20072570"
869, Kesehatan & Kecantikan   Perawatan Diri   Kesehatan Kewanitaan   Pembalut , Charm Pembalut Wanita Body Fit 8'S Night Wing 42Cm,Rp 24.000,Rp17.900,"CARA PENYIMPANAN :
Simpanlah di tempat sejuk dan kering.

OTHER DETAILS :
Charm pembalut wanita body fit fleksibel butterfly wing, nyenyak sampai pagi gathers 42cm, Terpanjang.

PLU :
20017043"
870, Makanan   Cemilan & Biskuit   Keripik , Mr.Hottest Snack Tortilla Chips Maitos Sambal Balado 140G,,Rp11.500,"KOMPOSISI :
Jagung 68%, minyak kelapa sawit, bumbu rasa sambal balado (mengadung penguat rasa mononatrium glutamat, bawang putih bubuk 3%, ekstrak cabe 2%, pewarna kuning FCF CI15985.

OTHER DETAILS :
Mr Hottest maitos tortilla chips snack, Makanan ringan ekstrudat jagung rasa sambal balado.

TAKARAN PER KEMASAN :
Sajian per kemasan : 5

TAKARAN PER SERVING :
Energi total 140kkal, energi dari lemak 45kkal, lemak total 5g, lemak jenuh 2g, lemak trans 0g, protein 3g, karbohidrat total 21g, serat pangan 2g, gula 0g, natrium 0mg.

TAKARAN SAJI :
Takara saji : 30g

PLU :
20072194"
871, Makanan   Cemilan & Biskuit   Keripik , Mr.Hottest Snack Tortilla Chips Maitos Jagung Barbeque 140G,,Rp11.500,"KOMPOSISI :
Jagung 68%, minyak kelapa sawit, bumbu rasa jagung barbeque (mengadung penguat rasa mononatrium glutamat, dinatrium guanilat, dinatrium inosinat, keju bubuk, campuran rempah alami, bawang putih, cabe, bawang, merica.

OTHER DETAILS :
Mr Hottest maitos tortilla chips snack, Makanan ringan ekstrudat jagung rasa jagung barbeque.

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi total 50kkal, energi dari lemak 20kkal, lemak total 2g, lemak jenuh 1g, lemak trans 0g, protein 1g, karbohidrat total 7g, serat pangan 1g, gula 0g, natrium 60mg.

TAKARAN SAJI :
Takara saji : 10g

PLU :
20072195"
872, Kesehatan & Kecantikan   Kosmetik   Wajah   Masker , Vienna Anti Aging Face Mask Luxurious Gold 20G,Rp 12.700,Rp4.745,"CARA PENGGUNAAN :
Bersihkan wajah dengan perlahan. Gunakan satu atau dua kali dalam seminggu dengan olesan yang tipis pada wajah dan leher, hindari daerah mata. Relaks dan diamkan 15-20 menit hingga kering. Angkat masker dengan menariknya secara perlahan dari ujung. Bilas hingga bersih.

OTHER DETAILS :
Masker wajah mewah yang diformulasikan dengan perpaduan unik dari hasil fermentasi mineral gold untuk membantu merawat kulit agar tampak muda bercahaya.

PERHATIAN :
Hindari penggunaan pada kulit sensitif dan bermasalah.

PLU :
20072070"
873, Ibu & Anak   Makanan & Susu Bayi   Susu Balita , Sgm Soya 1+ Eksplor Pro-Gressmaxx Madu Formula Pertumbuhan 700G,Rp 97.900,Rp91.000,"CARA PENANGANAN :
Setelah dibuka, tutuplah dengan cara melipat kantung sachet beberapa kali dan simpan dalam wadah kering, bersih dan tertutup rapat tidak lebih dari 1 bulan.

CARA PENGGUNAAN :
Rebus air minum sampai mendidih, diamkan sampai hangat, kemudian tuangkan sebanyak 180ml ke dalam gelas, masukkan 4 sendol makan (40gr) SGM eksplor soya kedalam gelas berisi air hangat tersebut. Aduk sampai larut dan SGM eksplor soya untuk si kecil siap untuk dinikmati.

CARA PENYIMPANAN :
Simpan produk ini di tempat kering dan bersih.

KOMPOSISI :
Maltodekstrin, isolat protein kedelai, sukrosa, campuran minyak nabati (mengadung antioksidan dl alpha tokoferol dan askorbil palmitat), bubuk madu, inulin, 9 mineral, perisa identik alami madu, DHA (mengandung antioksidan tokoferol alami), premiks vitamin, l-metionin, asam sitrat, taurin, l-karnitin.

OTHER DETAILS :
SGM eksplor soya presinutri anak usia 1-5 tahun, susu pertumbuhan formula dengan isolat protein kedelai rasa madu.

PERHATIAN :
Tidak cocok untuk bayi usia di bawah 12 bulan.

TAKARAN PER KEMASAN :
Sajian per kemasan: 17

TAKARAN PER SERVING :
Energi total 170kkal, energi dari lemak 40kkal, lemak total 4g, protein 4g, karbohidrat total 29g, serat pangan 1.2g, inulin 920mg, gula total 18g, sukrosa 4g, natrium 50mg, Vit A 40%, Vit C 50%, Vit D3 60%, Vit E 50%, Vit K 40%, Vit B1 25%, Vit B2 25%, Vit B3 30%, Vit B5 25%, Vit B6 25%, Vit B9 15%, Vit B12 25%, kalium 25%, fosfor 25%, magnesium 15%, zat besi 40%, zinc 30%, mangan 4%, lodium 40%, selenium 30%.

TAKARAN SAJI :
Takaran saji: 40g

PLU :
20071686"
